iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.840319633483887,10.838056564331055,9.900990099009901e-06,11.622501134872437,,
250,5.294827938079834,5.554445266723633,0.0009862301196726987,28.9794819355011,36.59534454345703,27981.701300393506
500,4.748489856719971,5.17545223236084,0.0009051132292283772,44.00614094734192,41.00441932678223,24972.91796377591
750,4.476044178009033,5.113979339599609,0.0007641763268666832,59.211318254470825,38.10405731201172,26873.77860092604
1000,4.327669143676758,5.007530689239502,0.0005871607054625496,74.57518458366394,35.836219787597656,28574.442451499588
1250,4.157703399658203,4.918656826019287,0.00040388523885789244,89.84033489227295,40.56072235107422,25246.098704474385
1500,4.089078903198242,4.899702548980713,0.0002452232927684166,105.06330299377441,38.3150577545166,26725.785109361874
1750,4.032313346862793,4.834018230438232,0.00013790200300522413,120.44758701324463,38.07234764099121,26896.161215377582
2000,3.9671196937561035,4.824054718017578,0.0001,136.34589195251465,38.55109214782715,26562.152793840254
