iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.840346336364746,10.840721130371094,9.900990099009901e-06,19.974576234817505,,
100,5.853451728820801,6.005372524261475,0.001,37.346418142318726,61.105966567993164,16757.774363336284
200,5.226784706115723,5.489543437957764,0.0009728616793536588,52.686767578125,61.45620346069336,16662.27235554728
300,4.8950419425964355,5.331292629241943,0.00089471999940354,69.15473222732544,60.34135818481445,16970.118519103875
400,4.742090702056885,5.212960243225098,0.0007750000000000001,86.29507684707642,61.68055534362793,16601.666348417322
500,4.573220729827881,5.099608421325684,0.0006281416799501188,101.68270134925842,59.46683883666992,17219.681086672386
600,4.432409763336182,5.076711654663086,0.00047185832004988137,118.71739602088928,60.3635311126709,16963.885000177735
700,4.326033592224121,5.008388519287109,0.0003250000000000001,135.19691252708435,60.58669090270996,16901.40168975952
800,4.257513999938965,4.927801132202148,0.00020528000059645996,151.63232898712158,61.34605407714844,16692.190156390883
900,4.210367202758789,4.942079067230225,0.00012713832064634127,167.83892726898193,60.773611068725586,16849.418390525025
1000,4.193718433380127,4.894518852233887,0.0001,184.42453384399414,75.63424110412598,13538.841469834475
