exp_dir,exp_idx,min_val_loss,iter_at_min,elapsed_s_at_min
/content/drive/MyDrive/nanogpt_runs_account2/exp_122,122,4.657364368438721,2000,343.289687871933
/content/drive/MyDrive/nanogpt_runs_account2/exp_106,106,4.681939125061035,2000,341.7218315601349
/content/drive/MyDrive/nanogpt_runs_account2/exp_126,126,4.69413948059082,1400,433.8907766342163
/content/drive/MyDrive/nanogpt_runs_account2/exp_124,124,4.696400165557861,800,258.84435749053955
/content/drive/MyDrive/nanogpt_runs_account2/exp_127,127,4.696942329406738,1400,433.5491669178009
/content/drive/MyDrive/nanogpt_runs_account2/exp_102,102,4.706092357635498,1700,307.8628480434418
/content/drive/MyDrive/nanogpt_runs_account2/exp_123,123,4.712993621826172,2000,326.748496055603
/content/drive/MyDrive/nanogpt_runs_account2/exp_118,118,4.714846611022949,1700,312.1052930355072
/content/drive/MyDrive/nanogpt_runs_account2/exp_108,108,4.715205192565918,800,255.72298288345337
/content/drive/MyDrive/nanogpt_runs_account2/exp_107,107,4.717854022979736,2000,321.3071665763855
/content/drive/MyDrive/nanogpt_runs_account2/exp_111,111,4.734907150268555,1400,424.5719575881958
/content/drive/MyDrive/nanogpt_runs_account2/exp_110,110,4.737324237823486,1200,367.8776259422302
/content/drive/MyDrive/nanogpt_runs_account2/exp_119,119,4.752473831176758,1700,314.26691150665283
/content/drive/MyDrive/nanogpt_runs_account2/exp_103,103,4.758316040039063,1700,308.4401707649231
/content/drive/MyDrive/nanogpt_runs_account2/exp_125,125,4.76297664642334,800,260.24761152267456
/content/drive/MyDrive/nanogpt_runs_account2/exp_109,109,4.782157897949219,800,253.42139887809756
/content/drive/MyDrive/nanogpt_runs_account2/exp_114,114,4.815388202667236,1700,204.74236917495728
/content/drive/MyDrive/nanogpt_runs_account2/exp_116,116,4.870792388916016,1000,191.26590394973755
/content/drive/MyDrive/nanogpt_runs_account2/exp_120,120,4.883405208587647,1000,183.3141438961029
/content/drive/MyDrive/nanogpt_runs_account2/exp_104,104,4.894518852233887,1000,184.4245338439941
/content/drive/MyDrive/nanogpt_runs_account2/exp_115,115,4.896610736846924,2000,237.1911873817444
/content/drive/MyDrive/nanogpt_runs_account2/exp_121,121,4.956418991088867,1000,181.3164234161377
/content/drive/MyDrive/nanogpt_runs_account2/exp_117,117,4.956562519073486,1000,191.78263115882876
/content/drive/MyDrive/nanogpt_runs_account2/exp_105,105,4.978815078735352,1000,172.7603919506073
/content/drive/MyDrive/nanogpt_runs_account2/exp_112,112,5.034800052642822,1000,135.26249027252197
/content/drive/MyDrive/nanogpt_runs_account2/exp_113,113,5.144169807434082,1000,126.80173110961914
