exp_idx,exp_dir,min_val_loss,iter_at_min,elapsed_s_at_min
46,/content/drive/MyDrive/nanogpt_runs/exp_046,4.6630024909973145,2000,219.32906126976013
62,/content/drive/MyDrive/nanogpt_runs/exp_062,4.671533584594727,2000,221.24168300628665
63,/content/drive/MyDrive/nanogpt_runs/exp_063,4.687564373016357,2000,214.68398308753967
14,/content/drive/MyDrive/nanogpt_runs/exp_014,4.690054416656494,1500,153.8324077129364
92,/content/drive/MyDrive/nanogpt_runs/exp_092,4.691622734069824,1000,189.6555688381195
76,/content/drive/MyDrive/nanogpt_runs/exp_076,4.692010879516602,1000,191.60612082481384
90,/content/drive/MyDrive/nanogpt_runs/exp_090,4.7059245109558105,2000,201.40835404396057
30,/content/drive/MyDrive/nanogpt_runs/exp_030,4.71042537689209,1500,154.9855995178223
74,/content/drive/MyDrive/nanogpt_runs/exp_074,4.718822479248047,2000,198.8241958618164
47,/content/drive/MyDrive/nanogpt_runs/exp_047,4.719425678253174,2000,220.7867522239685
10,/content/drive/MyDrive/nanogpt_runs/exp_010,4.729095935821533,2000,124.9552652835846
26,/content/drive/MyDrive/nanogpt_runs/exp_026,4.744156360626221,2000,126.04028749465942
28,/content/drive/MyDrive/nanogpt_runs/exp_028,4.744466304779053,1000,105.22845506668092
93,/content/drive/MyDrive/nanogpt_runs/exp_093,4.746273994445801,1000,191.57841992378235
15,/content/drive/MyDrive/nanogpt_runs/exp_015,4.748260974884033,1750,171.81122851371765
12,/content/drive/MyDrive/nanogpt_runs/exp_012,4.75059700012207,1000,106.03175830841064
70,/content/drive/MyDrive/nanogpt_runs/exp_070,4.754685878753662,1750,187.2773187160492
31,/content/drive/MyDrive/nanogpt_runs/exp_031,4.754900932312012,1500,150.81083297729492
77,/content/drive/MyDrive/nanogpt_runs/exp_077,4.755733489990234,1000,187.46742916107175
91,/content/drive/MyDrive/nanogpt_runs/exp_091,4.760700225830078,1750,179.32073140144348
58,/content/drive/MyDrive/nanogpt_runs/exp_058,4.762690544128418,2000,157.3891098499298
78,/content/drive/MyDrive/nanogpt_runs/exp_078,4.764616012573242,1000,186.6172881126404
94,/content/drive/MyDrive/nanogpt_runs/exp_094,4.764650821685791,1000,190.02792501449585
42,/content/drive/MyDrive/nanogpt_runs/exp_042,4.765232086181641,2000,147.91811561584473
75,/content/drive/MyDrive/nanogpt_runs/exp_075,4.766926765441895,2000,198.97043180465695
86,/content/drive/MyDrive/nanogpt_runs/exp_086,4.767132759094238,1750,189.8998851776123
6,/content/drive/MyDrive/nanogpt_runs/exp_006,4.769212245941162,2000,135.44955587387085
22,/content/drive/MyDrive/nanogpt_runs/exp_022,4.771634101867676,2000,137.6173746585846
38,/content/drive/MyDrive/nanogpt_runs/exp_038,4.7816162109375,1500,121.30181860923769
79,/content/drive/MyDrive/nanogpt_runs/exp_079,4.782411575317383,1250,224.3909990787506
54,/content/drive/MyDrive/nanogpt_runs/exp_054,4.784859657287598,2000,154.81214547157288
95,/content/drive/MyDrive/nanogpt_runs/exp_095,4.790578842163086,1250,228.25359225273127
60,/content/drive/MyDrive/nanogpt_runs/exp_060,4.792364597320557,1000,117.63168454170228
44,/content/drive/MyDrive/nanogpt_runs/exp_044,4.794440746307373,1000,119.315984249115
98,/content/drive/MyDrive/nanogpt_runs/exp_098,4.7961015701293945,1750,136.3844985961914
66,/content/drive/MyDrive/nanogpt_runs/exp_066,4.807705879211426,2000,132.84677457809448
27,/content/drive/MyDrive/nanogpt_runs/exp_027,4.810164928436279,2000,136.83220505714417
11,/content/drive/MyDrive/nanogpt_runs/exp_011,4.813611030578613,2000,137.82874631881714
29,/content/drive/MyDrive/nanogpt_runs/exp_029,4.815167427062988,1000,109.4034628868103
87,/content/drive/MyDrive/nanogpt_runs/exp_087,4.823636054992676,1750,186.50996494293213
82,/content/drive/MyDrive/nanogpt_runs/exp_082,4.824054718017578,2000,136.34589195251465
13,/content/drive/MyDrive/nanogpt_runs/exp_013,4.827004432678223,1000,104.60544848442078
71,/content/drive/MyDrive/nanogpt_runs/exp_071,4.831114768981934,1750,183.5695550441742
88,/content/drive/MyDrive/nanogpt_runs/exp_088,4.8343048095703125,1000,108.8697726726532
39,/content/drive/MyDrive/nanogpt_runs/exp_039,4.835491180419922,2000,153.01082110404968
55,/content/drive/MyDrive/nanogpt_runs/exp_055,4.83923864364624,2000,155.18661379814148
2,/content/drive/MyDrive/nanogpt_runs/exp_002,4.8400559425354,2000,101.41504669189452
18,/content/drive/MyDrive/nanogpt_runs/exp_018,4.8477888107299805,2000,101.7908182144165
59,/content/drive/MyDrive/nanogpt_runs/exp_059,4.848386287689209,2000,150.41673111915588
7,/content/drive/MyDrive/nanogpt_runs/exp_007,4.848537445068359,2000,132.3198525905609
45,/content/drive/MyDrive/nanogpt_runs/exp_045,4.849364757537842,1000,118.84898352622986
23,/content/drive/MyDrive/nanogpt_runs/exp_023,4.850448131561279,2000,136.01368713378906
61,/content/drive/MyDrive/nanogpt_runs/exp_061,4.854374408721924,1000,119.82604670524596
72,/content/drive/MyDrive/nanogpt_runs/exp_072,4.858761787414551,1000,106.0372633934021
100,/content/drive/MyDrive/nanogpt_runs/exp_100,4.862936973571777,1000,124.44428324699402
43,/content/drive/MyDrive/nanogpt_runs/exp_043,4.864396572113037,2000,158.68974232673645
99,/content/drive/MyDrive/nanogpt_runs/exp_099,4.871166229248047,1750,134.6704180240631
34,/content/drive/MyDrive/nanogpt_runs/exp_034,4.878721714019775,2000,114.78337168693542
50,/content/drive/MyDrive/nanogpt_runs/exp_050,4.880495071411133,2000,116.34535789489746
83,/content/drive/MyDrive/nanogpt_runs/exp_083,4.880896091461182,2000,138.72734141349792
68,/content/drive/MyDrive/nanogpt_runs/exp_068,4.889951705932617,1000,118.87725114822388
84,/content/drive/MyDrive/nanogpt_runs/exp_084,4.891389846801758,1000,118.93394613265993
89,/content/drive/MyDrive/nanogpt_runs/exp_089,4.919070720672607,1000,109.6141607761383
67,/content/drive/MyDrive/nanogpt_runs/exp_067,4.92167854309082,2000,133.92409086227417
19,/content/drive/MyDrive/nanogpt_runs/exp_019,4.92371940612793,2000,103.35201287269592
20,/content/drive/MyDrive/nanogpt_runs/exp_020,4.925013065338135,1000,75.70695328712463
8,/content/drive/MyDrive/nanogpt_runs/exp_008,4.927824020385742,1000,70.22885632514954
51,/content/drive/MyDrive/nanogpt_runs/exp_051,4.933304309844971,2000,119.79033041000366
4,/content/drive/MyDrive/nanogpt_runs/exp_004,4.9347734451293945,1000,73.31966543197632
24,/content/drive/MyDrive/nanogpt_runs/exp_024,4.944817066192627,1000,74.45048904418945
3,/content/drive/MyDrive/nanogpt_runs/exp_003,4.947592258453369,2000,98.94665336608888
73,/content/drive/MyDrive/nanogpt_runs/exp_073,4.948077201843262,1000,109.4132809638977
35,/content/drive/MyDrive/nanogpt_runs/exp_035,4.950225353240967,2000,120.9481167793274
36,/content/drive/MyDrive/nanogpt_runs/exp_036,4.963912010192871,1000,83.96766209602356
52,/content/drive/MyDrive/nanogpt_runs/exp_052,4.969326496124268,1000,83.20395255088806
101,/content/drive/MyDrive/nanogpt_runs/exp_101,4.97313117980957,1000,125.31882691383362
85,/content/drive/MyDrive/nanogpt_runs/exp_085,4.993490219116211,1000,115.41745972633362
69,/content/drive/MyDrive/nanogpt_runs/exp_069,5.015043258666992,1000,115.0579206943512
21,/content/drive/MyDrive/nanogpt_runs/exp_021,5.023324966430664,1000,72.8099365234375
56,/content/drive/MyDrive/nanogpt_runs/exp_056,5.025530815124512,1000,84.54615235328674
5,/content/drive/MyDrive/nanogpt_runs/exp_005,5.0262131690979,1000,74.04209280014038
53,/content/drive/MyDrive/nanogpt_runs/exp_053,5.029064178466797,1000,83.41219425201416
25,/content/drive/MyDrive/nanogpt_runs/exp_025,5.032747268676758,1000,69.88397407531738
40,/content/drive/MyDrive/nanogpt_runs/exp_040,5.033807277679443,1000,85.22088146209717
9,/content/drive/MyDrive/nanogpt_runs/exp_009,5.036180019378662,1000,69.76508712768555
37,/content/drive/MyDrive/nanogpt_runs/exp_037,5.0366291999816895,1000,85.52783179283142
64,/content/drive/MyDrive/nanogpt_runs/exp_064,5.042849063873291,1000,80.89859962463379
80,/content/drive/MyDrive/nanogpt_runs/exp_080,5.046654224395752,1000,76.86873483657837
96,/content/drive/MyDrive/nanogpt_runs/exp_096,5.088812828063965,1000,83.35440492630005
81,/content/drive/MyDrive/nanogpt_runs/exp_081,5.1219401359558105,1000,76.7604284286499
57,/content/drive/MyDrive/nanogpt_runs/exp_057,5.124951362609863,1000,82.95867252349854
65,/content/drive/MyDrive/nanogpt_runs/exp_065,5.129062652587891,1000,76.976482629776
48,/content/drive/MyDrive/nanogpt_runs/exp_048,5.133707046508789,1000,69.44905734062195
32,/content/drive/MyDrive/nanogpt_runs/exp_032,5.151070594787598,1000,64.59223771095276
16,/content/drive/MyDrive/nanogpt_runs/exp_016,5.159689903259277,1000,68.97095894813538
97,/content/drive/MyDrive/nanogpt_runs/exp_097,5.159692764282227,1000,85.63819622993469
41,/content/drive/MyDrive/nanogpt_runs/exp_041,5.169172763824463,1000,84.02138471603394
49,/content/drive/MyDrive/nanogpt_runs/exp_049,5.185239791870117,1000,65.00178837776184
0,/content/drive/MyDrive/nanogpt_runs/exp_000,5.190608978271484,1000,54.76932120323181
33,/content/drive/MyDrive/nanogpt_runs/exp_033,5.2231268882751465,1000,64.13687086105347
17,/content/drive/MyDrive/nanogpt_runs/exp_017,5.271876335144043,1000,65.07128858566284
1,/content/drive/MyDrive/nanogpt_runs/exp_001,5.285156726837158,1000,58.373563289642334
