iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.840346336364746,10.840721130371094,9.900990099009901e-06,19.765719175338745,,
100,5.944400787353516,6.077275276184082,0.001,36.85592198371887,59.65590476989746,17165.107191815037
200,5.294560432434082,5.53596305847168,0.0009728616793536588,52.07758975028992,62.888383865356445,16282.816270050384
300,4.966155529022217,5.387118339538574,0.00089471999940354,67.09665536880493,60.26649475097656,16991.198911289048
400,4.809196949005127,5.279327392578125,0.0007750000000000001,82.11372756958008,59.17859077453613,17303.55499510501
500,4.647052764892578,5.172740459442139,0.0006281416799501188,97.15884160995483,59.81636047363281,17119.06227479991
600,4.5314040184021,5.165667533874512,0.00047185832004988137,112.08987736701965,63.498735427856445,16126.305399631288
700,4.433166027069092,5.09141206741333,0.0003250000000000001,127.30329585075378,61.25450134277344,16717.138782500388
800,4.371947765350342,5.013849258422852,0.00020528000059645996,142.31219339370728,60.00781059265137,17064.445276152106
900,4.3353753089904785,5.02388858795166,0.00012713832064634127,157.57601523399353,60.018062591552734,17061.530409082603
1000,4.31667423248291,4.978815078735352,0.0001,172.7603919506073,60.22834777832031,17001.9606675745
