iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.840458869934082,10.837773323059082,9.900990099009901e-06,16.868136167526245,,
250,5.035129547119141,5.368645191192627,0.0009862301196726987,43.669931173324585,59.68070030212402,34315.951214250614
500,4.485113620758057,5.070745468139648,0.0009051132292283772,67.61456990242004,59.94462966918945,34164.8619951795
750,4.165947437286377,4.924799919128418,0.0007641763268666832,91.47086215019226,59.28802490234375,34543.2320164715
1000,3.941080331802368,4.83978796005249,0.0005871607054625496,115.38663458824158,59.546470642089844,34393.30623488525
1250,3.835153102874756,4.831945896148682,0.00040388523885789244,139.64611911773682,59.99016761779785,34138.927783098916
1500,3.7088494300842285,4.792729377746582,0.0002452232927684166,163.470365524292,58.713436126708984,34881.283316142966
1750,3.6713767051696777,4.754685878753662,0.00013790200300522413,187.2773187160492,61.00273132324219,33572.26726698559
2000,3.6562910079956055,4.773033142089844,0.0001,211.20516395568848,60.13989448547363,34053.934040317945
