iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.828756332397461,10.822778701782227,9.900990099009901e-06,14.340982675552368,,
100,6.314063549041748,6.392269134521484,0.001,26.97958469390869,41.348934173583984,24764.84631263334
200,5.684198379516602,5.866951942443848,0.000993862586531225,38.292338609695435,48.16126823425293,21261.898565862884
300,5.288477897644043,5.491439342498779,0.0009756177587652855,49.822813510894775,42.075395584106445,24337.26375675017
400,5.053046226501465,5.40382194519043,0.0009457631880429201,61.56051707267761,42.84358024597168,23900.897033372472
500,4.902310371398926,5.3360915184021,0.0009051132292283772,72.14538311958313,40.77792167663574,25111.628005963692
600,4.769637107849121,5.251831531524658,0.0008547767072315835,83.24778246879578,41.43071174621582,24715.964482399453
700,4.683140277862549,5.205440521240234,0.0007961266711550922,93.8787293434143,41.585683822631836,24623.858642495543
800,4.576730251312256,5.1699371337890625,0.0007307629410938364,105.45215058326721,44.06261444091797,23239.65595307664
900,4.532939434051514,5.124672889709473,0.0006604684692133597,116.29780745506287,42.31429100036621,24199.86193296108
1000,4.431398391723633,5.070461750030518,0.0005871607054625496,127.84834742546082,41.838645935058594,24474.9794625151
1100,4.421773433685303,5.034679412841797,0.0005128392945374505,139.20654916763306,42.96994209289551,23830.611588590073
1200,4.367029666900635,5.017249584197998,0.0004395315307866404,149.75512385368347,41.52035713195801,24662.60096813648
1300,4.2919020652771,5.014364719390869,0.0003692370589061638,160.39996075630188,41.074275970458984,24930.44553570392
1400,4.283002853393555,4.954926013946533,0.000303873328844908,172.7655851840973,41.75996780395508,24521.091702159243
1500,4.242599964141846,4.932690143585205,0.0002452232927684166,183.58427548408508,42.85097122192383,23896.77458409837
1600,4.213777542114258,4.9568610191345215,0.00019488677077162295,194.43942022323608,41.05377197265625,24942.89685931983
1700,4.187192916870117,4.899397850036621,0.00015423681195707997,205.23852372169495,41.66746139526367,24575.531258940526
1800,4.163341522216797,4.942215919494629,0.00012438224123471442,215.81590485572815,41.57590866088867,24629.648105882487
1900,4.161088943481445,4.906691551208496,0.00010613741346877496,226.48716378211975,41.99028015136719,24386.59604814899
2000,4.111761569976807,4.896610736846924,0.0001,237.19118738174438,45.107364654541016,22701.392729156316
