iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.840001106262207,10.839249610900879,9.900990099009901e-06,25.570148468017578,,
100,5.66016960144043,5.823376655578613,0.001,56.23342800140381,119.87733840942383,17084.129721043275
200,4.90765380859375,5.332899570465088,0.0009728616793536588,85.12028861045837,125.63371658325195,16301.35648055019
300,4.579503059387207,5.14289665222168,0.00089471999940354,114.03061628341675,120.20182609558105,17038.010706854726
400,4.353931903839111,5.022989273071289,0.0007750000000000001,142.9884021282196,116.60623550415039,17563.383219991738
500,4.178150653839111,4.889694690704346,0.0006281416799501188,171.8072693347931,118.11017990112305,17339.741601566442
600,4.0314555168151855,4.832168102264404,0.00047185832004988137,200.73047041893005,117.90680885314941,17369.64997967796
700,3.9368371963500977,4.78348445892334,0.0003250000000000001,229.57103419303894,117.49505996704102,17430.52006249873
800,3.8073413372039795,4.696400165557861,0.00020528000059645996,258.84435749053955,118.7436580657959,17247.23689129741
900,3.803183078765869,4.736059188842773,0.00012713832064634127,287.91586995124817,126.18207931518555,16230.51396137146
1000,3.7399086952209473,4.7420268058776855,0.0001,316.8511004447937,124.26996231079102,16480.24962684133
