iter,train_loss,val_loss,lr,elapsed_s,iter_ms,throughput_tok_s
0,10.82204818725586,10.811308860778809,9.900990099009901e-06,14.615588665008545,,
250,5.402994155883789,5.700607776641846,0.0009397114317029975,33.03967905044556,51.84769630432129,9875.077129653047
500,4.903402328491211,5.386044502258301,0.0006281416799501188,49.39777064323425,40.223121643066406,12728.997131137823
750,4.642802715301514,5.226117134094238,0.0002607455756410573,66.08893775939941,42.32144355773926,12097.886011413506
1000,4.530575752258301,5.124951362609863,0.0001,82.95867252349854,39.54291343688965,12947.95844563022
